1,Abasolo  , 2 639
2,Agualeguas  , 2 439
4,Allende , 34 353
5,Anáhuac , 18 194
6,Apodaca , 597 207
7,Aramberri , 16 152
8,Bustamante  , 3 977
9,Cadereyta Jiménez , 95 534
11,Cerralvo , 7 757
13,China , 10 835
12,Ciénega de Flores , 42 715
14,Doctor Arroyo , 34 110
15,Doctor Coss  , 1 632
16,Doctor González  , 2 861
10,El Carmen , 38 306
17,Galeana , 41 130
18,García , 247 370
20,General Bravo , 5 479
21,General Escobedo , 425 148
22,General Terán , 14 795
23,General Treviño  , 1 044
24,General Zaragoza , 6 011
25,General Zuazua , 67 294
26,Guadalupe , 682 880
47,Hidalgo , 13 836
28,Higueras  , 1 511
29,Hualahuises , 6 921
30,Iturbide  , 3 571
31,Juárez , 333 481
32,Lampazos de Naranjo , 5 238
33,Linares , 79 853
3,Los Aldamas  , 1 292
27,Los Herreras  , 1 764
42,Los Ramones , 4 469
34,Marín , 5 630
35,Melchor Ocampo  ,955
36,Mier y Noriega , 6 996
37,Mina , 5 326
38,Montemorelos , 60 829
39,Monterrey ,1 109 171
40,Parás  ,971
41,Pesquería , 87 168
43,Rayones  , 2 640
44,Sabinas Hidalgo , 35 456
45,Salinas Victoria , 54 192
46,San Nicolás de los Garza , 430 143
19,San Pedro Garza García , 123 156
48,Santa Catarina , 296 954
49,Santiago , 42 407
50,Vallecillo  , 1 632
51,Villaldama , 4 080
